state,transaction_year,districts,quater,transaction_count,transaction_amount
meghalaya,2018,Jaintia Hills,2,4566,9791290.934
meghalaya,2018,West Garo Hills,2,2982,4358257.117
meghalaya,2018,West Garo Hills,2,2973,5665655.61
meghalaya,2018,East Khasi Hills,2,2765,4038235.734
meghalaya,2018,East Khasi Hills,2,2668,3708245.668
meghalaya,2018,East Khasi Hills,2,2396,5164910.263
meghalaya,2018,West Garo Hills,2,1990,3441094.526
meghalaya,2018,east khasi hills,1,23283,31807959.18
meghalaya,2018,west garo hills,1,7660,9199200.849
meghalaya,2018,ribhoi,1,6029,8736566.954
meghalaya,2018,east jaintia hills,1,4896,8299361.376
meghalaya,2018,west jaintia hills,1,3131,2812937.948
meghalaya,2018,west khasi hills,1,1079,1647761.337
meghalaya,2018,north garo hills,1,922,652554.6655
meghalaya,2018,south west garo hills,1,798,1015597.235
meghalaya,2018,east garo hills,1,749,781579.3759
meghalaya,2018,south garo hills,1,705,807410.0407
meghalaya,2018,East Khasi Hills,1,6326,6240111.072
meghalaya,2018,East Khasi Hills,1,5245,8652691.778
meghalaya,2018,Ri Bhoi,1,3563,4766271.02
meghalaya,2018,Jaintia Hills,1,3343,5290588.53
meghalaya,2018,West Garo Hills,1,2197,2975311.229
meghalaya,2018,West Garo Hills,1,1873,1540690.026
meghalaya,2018,Jaintia Hills,1,1551,1429788.423
meghalaya,2018,East Khasi Hills,1,1549,2521411.524
meghalaya,2018,West Garo Hills,1,1494,1672332.214
meghalaya,2018,West Garo Hills,1,1448,2307282.756
meghalaya,2021,east khasi hills,3,475308,1267820067
meghalaya,2021,west garo hills,3,207635,550868915.2
meghalaya,2021,ribhoi,3,135524,337135306.8
meghalaya,2021,east jaintia hills,3,103142,254116660
meghalaya,2021,west jaintia hills,3,37590,71888903.26
meghalaya,2021,north garo hills,3,30790,56346103.94
meghalaya,2021,east garo hills,3,29654,54695590.92
meghalaya,2021,south west garo hills,3,28662,59140851.36
meghalaya,2021,south garo hills,3,23378,50417337.28
meghalaya,2021,west khasi hills,3,17524,45708478
meghalaya,2021,East Khasi Hills,3,207464,530904907.2
meghalaya,2021,Jaintia Hills,3,66079,138267841.7
meghalaya,2021,Ri Bhoi,3,65749,174667201.9
meghalaya,2021,West Garo Hills,3,55480,120467614.2
meghalaya,2021,West Garo Hills,3,50251,166891324.2
meghalaya,2021,East Khasi Hills,3,43791,129825349.2
meghalaya,2021,West Garo Hills,3,35755,91612880.48
meghalaya,2021,West Garo Hills,3,33796,92968033.62
meghalaya,2021,East Khasi Hills,3,33163,80876112.09
meghalaya,2021,Ri Bhoi,3,30417,68272870.04
meghalaya,2021,east khasi hills,4,602012,1647841436
meghalaya,2021,west garo hills,4,261543,746098768.1
meghalaya,2021,ribhoi,4,210094,495239611.1
meghalaya,2021,east jaintia hills,4,140522,371541323.5
meghalaya,2021,west jaintia hills,4,43460,98276171.06
meghalaya,2021,north garo hills,4,38565,88113799.76
meghalaya,2021,east garo hills,4,37744,79675265.12
meghalaya,2021,south west garo hills,4,35153,76249072.06
meghalaya,2021,west khasi hills,4,29960,108595108.9
meghalaya,2021,south garo hills,4,28989,89662812.04
meghalaya,2021,East Khasi Hills,4,263013,690414224.2
meghalaya,2021,Ri Bhoi,4,117054,278722454.7
meghalaya,2021,Jaintia Hills,4,87932,196204865.7
meghalaya,2021,West Garo Hills,4,73841,191081991.3
meghalaya,2021,West Garo Hills,4,71698,231647775.4
meghalaya,2021,East Khasi Hills,4,54401,172263562.3
meghalaya,2021,West Garo Hills,4,42891,119992937.3
meghalaya,2021,East Khasi Hills,4,39907,101569097.1
meghalaya,2021,Ri Bhoi,4,39688,91336742.41
meghalaya,2021,West Garo Hills,4,38836,109403120.2
meghalaya,2021,east khasi hills,2,386773,994348113.9
meghalaya,2021,west garo hills,2,174186,437555569.8
meghalaya,2021,ribhoi,2,111231,265892507.5
meghalaya,2021,east jaintia hills,2,87223,205906820.9
meghalaya,2021,west jaintia hills,2,30529,53732989.36
meghalaya,2021,north garo hills,2,25028,37984069.23
meghalaya,2021,south west garo hills,2,24491,47526700.9
meghalaya,2021,east garo hills,2,24431,42603145.83
meghalaya,2021,south garo hills,2,21894,48819031.96
meghalaya,2021,west khasi hills,2,16590,41326043.5
meghalaya,2021,East Khasi Hills,2,165598,426313703.5
meghalaya,2021,Jaintia Hills,2,57026,115283269
meghalaya,2021,Ri Bhoi,2,48528,131101653.9
meghalaya,2021,West Garo Hills,2,48384,107138411.3
meghalaya,2021,West Garo Hills,2,43088,137176096.5
meghalaya,2021,East Khasi Hills,2,34320,92640341.41
meghalaya,2021,West Garo Hills,2,27790,64440313.69
meghalaya,2021,West Garo Hills,2,27136,65710918.69
meghalaya,2021,East Khasi Hills,2,27035,63624325.08
meghalaya,2021,Ri Bhoi,2,25533,52914945.55
meghalaya,2021,east khasi hills,1,322156,915771307.2
meghalaya,2021,west garo hills,1,133362,370492803.5
meghalaya,2021,ribhoi,1,98957,266571316.1
meghalaya,2021,east jaintia hills,1,70732,205454314.8
meghalaya,2021,west jaintia hills,1,24312,53826602.11
meghalaya,2021,south garo hills,1,19054,44351833.96
meghalaya,2021,north garo hills,1,18850,37908696.16
meghalaya,2021,south west garo hills,1,18591,41861206.7
meghalaya,2021,east garo hills,1,18473,40212217.24
meghalaya,2021,west khasi hills,1,16947,60183253.85
meghalaya,2021,East Khasi Hills,1,135187,386470990.4
meghalaya,2021,Ri Bhoi,1,47550,142699873.1
meghalaya,2021,Jaintia Hills,1,43747,105030977.5
meghalaya,2021,West Garo Hills,1,31553,109155457.6
meghalaya,2021,West Garo Hills,1,30637,76541640.33
meghalaya,2021,East Khasi Hills,1,29718,85654930.73
meghalaya,2021,West Garo Hills,1,24109,67301542.41
meghalaya,2021,West Garo Hills,1,23620,60607668.95
meghalaya,2021,East Khasi Hills,1,22762,57330709.17
meghalaya,2021,Ri Bhoi,1,19946,46084786.68
meghalaya,2023,east khasi hills,2,1584287,3308371744
meghalaya,2023,west garo hills,2,1313181,3093601156
meghalaya,2023,ribhoi,2,849150,1540619034
meghalaya,2023,east jaintia hills,2,602439,1411515511
meghalaya,2023,west jaintia hills,2,143311,363450970
meghalaya,2023,south west garo hills,2,138973,324256480
meghalaya,2023,east garo hills,2,119181,259323245
meghalaya,2023,north garo hills,2,113361,215038091
meghalaya,2023,south garo hills,2,104600,273407662
meghalaya,2023,west khasi hills,2,71353,167896488
meghalaya,2023,Ri Bhoi,2,506038,906418719
meghalaya,2023,West Garo Hills,2,488458,1094387084
meghalaya,2023,East Khasi Hills,2,440374,853535712
meghalaya,2023,West Garo Hills,2,436676,1165226968
meghalaya,2023,Jaintia Hills,2,384625,651666753
meghalaya,2023,East Khasi Hills,2,168260,419601858
meghalaya,2023,Ri Bhoi,2,152164,301895446
meghalaya,2023,Jaintia Hills,2,143648,506214607
meghalaya,2023,West Garo Hills,2,136421,289480099
meghalaya,2023,East Khasi Hills,2,134094,308707152
meghalaya,2023,east khasi hills,1,1220563,2680323809
meghalaya,2023,west garo hills,1,1041221,2765563809
meghalaya,2023,ribhoi,1,729560,1474982935
meghalaya,2023,east jaintia hills,1,515136,1371613773
meghalaya,2023,west jaintia hills,1,134028,377216408
meghalaya,2023,south west garo hills,1,112416,302145041
meghalaya,2023,east garo hills,1,102374,230703822
meghalaya,2023,north garo hills,1,97035,198957381
meghalaya,2023,south garo hills,1,95917,276701570
meghalaya,2023,west khasi hills,1,81929,283510432
meghalaya,2023,Ri Bhoi,1,420175,849783871
meghalaya,2023,West Garo Hills,1,377010,921325526
meghalaya,2023,West Garo Hills,1,345431,1101087793
meghalaya,2023,East Khasi Hills,1,333990,692603254
meghalaya,2023,Jaintia Hills,1,318372,619782447
meghalaya,2023,Ri Bhoi,1,136689,285952534
meghalaya,2023,East Khasi Hills,1,133138,364095743
meghalaya,2023,Jaintia Hills,1,131790,506920518
meghalaya,2023,West Garo Hills,1,115701,272826072
meghalaya,2023,East Khasi Hills,1,105845,240993376
meghalaya,2020,east khasi hills,3,239307,571789473.6
meghalaya,2020,west garo hills,3,117550,249575864.7
meghalaya,2020,ribhoi,3,64590,138771339.7
meghalaya,2020,east jaintia hills,3,52534,99669877.91
meghalaya,2020,west jaintia hills,3,28622,39860361.24
meghalaya,2020,south west garo hills,3,19536,31848167.46
meghalaya,2020,east garo hills,3,19353,30405909.15
meghalaya,2020,north garo hills,3,17943,23618250.66
meghalaya,2020,south garo hills,3,17171,23368652.18
meghalaya,2020,west khasi hills,3,15031,19820539.5
meghalaya,2020,East Khasi Hills,3,64872,184743614.2
meghalaya,2020,Jaintia Hills,3,30783,57545869.04
meghalaya,2020,Ri Bhoi,3,27591,66215432.86
meghalaya,2020,East Khasi Hills,3,25567,60802742.84
meghalaya,2020,West Garo Hills,3,25373,50664604.68
meghalaya,2020,West Garo Hills,3,24905,53652092.52
meghalaya,2020,West Garo Hills,3,22882,59399190.75
meghalaya,2020,East Khasi Hills,3,21592,43087330.9
meghalaya,2020,West Garo Hills,3,21547,47873284.32
meghalaya,2020,East Khasi Hills,3,16753,38314852.84
meghalaya,2020,east khasi hills,4,298622,777719090.2
meghalaya,2020,west garo hills,4,149536,362364388
meghalaya,2020,ribhoi,4,90879,223682008
meghalaya,2020,east jaintia hills,4,65059,162952261
meghalaya,2020,west jaintia hills,4,32267,55102701.17
meghalaya,2020,south west garo hills,4,24078,49584665.88
meghalaya,2020,east garo hills,4,23262,41847990.16
meghalaya,2020,south garo hills,4,22487,34586748.63
meghalaya,2020,north garo hills,4,22048,36801863.78
meghalaya,2020,west khasi hills,4,18440,41431802.48
meghalaya,2020,East Khasi Hills,4,83561,243804216.5
meghalaya,2020,Ri Bhoi,4,41902,122314911.8
meghalaya,2020,Jaintia Hills,4,39853,84641953.64
meghalaya,2020,East Khasi Hills,4,35148,90824743.22
meghalaya,2020,West Garo Hills,4,30771,73373737.28
meghalaya,2020,West Garo Hills,4,30734,86993928.46
meghalaya,2020,West Garo Hills,4,29717,68562680.95
meghalaya,2020,West Garo Hills,4,29667,72534395.9
meghalaya,2020,East Khasi Hills,4,26651,60635630.16
meghalaya,2020,East Khasi Hills,4,20922,52343345.74
meghalaya,2020,east khasi hills,2,294655,669450297.9
meghalaya,2020,west garo hills,2,107355,178844205.7
meghalaya,2020,ribhoi,2,60451,108416383.2
meghalaya,2020,east jaintia hills,2,50077,79110098.9
meghalaya,2020,west jaintia hills,2,26041,22356066.44
meghalaya,2020,south west garo hills,2,20761,21835410.25
meghalaya,2020,east garo hills,2,19865,19379120.26
meghalaya,2020,north garo hills,2,19393,16949021.85
meghalaya,2020,south garo hills,2,15934,18498464.71
meghalaya,2020,west khasi hills,2,14911,13551099.23
meghalaya,2020,East Khasi Hills,2,82349,214418577.1
meghalaya,2020,East Khasi Hills,2,70788,193010397.6
meghalaya,2020,Jaintia Hills,2,28832,47657281.15
meghalaya,2020,West Garo Hills,2,24842,56811190.42
meghalaya,2020,Ri Bhoi,2,24250,52144803.32
meghalaya,2020,West Garo Hills,2,21478,34647259.56
meghalaya,2020,West Garo Hills,2,21074,36943959.07
meghalaya,2020,West Garo Hills,2,20774,28346124.39
meghalaya,2020,East Khasi Hills,2,19781,32336628.06
meghalaya,2020,East Khasi Hills,2,16882,33226515.24
meghalaya,2020,east khasi hills,1,280817,712010339.2
meghalaya,2020,west garo hills,1,65263,130098803.7
meghalaya,2020,ribhoi,1,51789,109400759.5
meghalaya,2020,east jaintia hills,1,36855,76021760.04
meghalaya,2020,west jaintia hills,1,15784,22057088.95
meghalaya,2020,south west garo hills,1,10582,14322530.89
meghalaya,2020,south garo hills,1,10483,11902327.51
meghalaya,2020,east garo hills,1,10003,15050504.88
meghalaya,2020,north garo hills,1,9622,11664668.29
meghalaya,2020,west khasi hills,1,7569,12185453.5
meghalaya,2020,East Khasi Hills,1,103312,285965673.4
meghalaya,2020,East Khasi Hills,1,81054,223117575.9
meghalaya,2020,Ri Bhoi,1,24418,57033079.52
meghalaya,2020,Jaintia Hills,1,23907,47019739.76
meghalaya,2020,West Garo Hills,1,14847,35002277.88
meghalaya,2020,West Garo Hills,1,14318,22670338.29
meghalaya,2020,West Garo Hills,1,13517,29171032.31
meghalaya,2020,East Khasi Hills,1,12926,26418953.02
meghalaya,2020,East Khasi Hills,1,11987,25544122.56
meghalaya,2020,West Garo Hills,1,11922,24914660.28
meghalaya,2022,east khasi hills,3,2924522,6137770373
meghalaya,2022,west garo hills,3,508052,1283479556
meghalaya,2022,ribhoi,3,400075,825278960.5
meghalaya,2022,east jaintia hills,3,241204,633317484.1
meghalaya,2022,west jaintia hills,3,62798,171112837
meghalaya,2022,south west garo hills,3,48898,121831916
meghalaya,2022,north garo hills,3,48727,107884419.6
meghalaya,2022,east garo hills,3,47047,99390252.25
meghalaya,2022,south garo hills,3,35206,88310719.84
meghalaya,2022,west khasi hills,3,29296,87822016.1
meghalaya,2022,East Khasi Hills,3,2175126,4365875116
meghalaya,2022,East Khasi Hills,3,231014,516581059.4
meghalaya,2022,Ri Bhoi,3,209752,416173329.5
meghalaya,2022,West Garo Hills,3,157661,361568000.3
meghalaya,2022,Jaintia Hills,3,141889,306811770.3
meghalaya,2022,West Garo Hills,3,123858,374425608.3
meghalaya,2022,West Garo Hills,3,122514,272020236.7
meghalaya,2022,East Khasi Hills,3,85048,236293089
meghalaya,2022,Ri Bhoi,3,68397,146011581.3
meghalaya,2022,Ri Bhoi,3,63536,127365311.1
meghalaya,2022,east khasi hills,4,2285868,4886013367
meghalaya,2022,west garo hills,4,612945,1565478827
meghalaya,2022,ribhoi,4,416100,855262410.3
meghalaya,2022,east jaintia hills,4,252554,698736182.3
meghalaya,2022,west jaintia hills,4,81501,229129661.9
meghalaya,2022,east garo hills,4,59445,143293321.8
meghalaya,2022,south west garo hills,4,59231,150334364.9
meghalaya,2022,north garo hills,4,59149,130072498.4
meghalaya,2022,south garo hills,4,47478,134393051.4
meghalaya,2022,west khasi hills,4,41404,141954215.1
meghalaya,2022,East Khasi Hills,4,1577217,3214355276
meghalaya,2022,Ri Bhoi,4,239315,491850012.2
meghalaya,2022,East Khasi Hills,4,207191,453102783.5
meghalaya,2022,West Garo Hills,4,204321,486310933.3
meghalaya,2022,West Garo Hills,4,166376,506634254.4
meghalaya,2022,Jaintia Hills,4,155563,328805254.1
meghalaya,2022,West Garo Hills,4,127431,284276960.4
meghalaya,2022,East Khasi Hills,4,85470,244536709
meghalaya,2022,Ri Bhoi,4,73640,157514222.5
meghalaya,2022,Ri Bhoi,4,68797,125896250.4
meghalaya,2022,east khasi hills,2,853333,2156500112
meghalaya,2022,west garo hills,2,392151,1150602955
meghalaya,2022,ribhoi,2,337102,755786725.1
meghalaya,2022,east jaintia hills,2,193196,502640751.8
meghalaya,2022,west jaintia hills,2,56272,152394109.7
meghalaya,2022,east garo hills,2,46150,106793207.8
meghalaya,2022,north garo hills,2,44965,92496675.79
meghalaya,2022,south west garo hills,2,43006,118240788.9
meghalaya,2022,south garo hills,2,33680,92292848.07
meghalaya,2022,west khasi hills,2,31223,103764884.9
meghalaya,2022,East Khasi Hills,2,365755,881158453.7
meghalaya,2022,Ri Bhoi,2,188283,413900997.1
meghalaya,2022,West Garo Hills,2,129378,347876781.5
meghalaya,2022,Jaintia Hills,2,125897,276573197.8
meghalaya,2022,West Garo Hills,2,111128,395124843.6
meghalaya,2022,East Khasi Hills,2,72475,209881832.5
meghalaya,2022,Ri Bhoi,2,61200,139890522
meghalaya,2022,Ri Bhoi,2,59776,139320224.8
meghalaya,2022,East Khasi Hills,2,56579,145074946.3
meghalaya,2022,West Garo Hills,2,54049,144392050
meghalaya,2022,east khasi hills,1,653082,1762837936
meghalaya,2022,west garo hills,1,325791,991586557.2
meghalaya,2022,ribhoi,1,257923,624403404.8
meghalaya,2022,east jaintia hills,1,169484,496156278.4
meghalaya,2022,west jaintia hills,1,49196,126597671.4
meghalaya,2022,south garo hills,1,43827,166412749.6
meghalaya,2022,east garo hills,1,42878,97659034.31
meghalaya,2022,north garo hills,1,42030,87894203.47
meghalaya,2022,south west garo hills,1,39644,98249285.5
meghalaya,2022,west khasi hills,1,36687,148090837.1
meghalaya,2022,East Khasi Hills,1,276853,725122188.7
meghalaya,2022,Ri Bhoi,1,146497,358732686.6
meghalaya,2022,Jaintia Hills,1,104592,258096527.6
meghalaya,2022,West Garo Hills,1,100267,360153597.6
meghalaya,2022,West Garo Hills,1,97389,281145669.2
meghalaya,2022,East Khasi Hills,1,59028,183373999.5
meghalaya,2022,Ri Bhoi,1,45968,104363058.9
meghalaya,2022,West Garo Hills,1,45495,125397296.5
meghalaya,2022,West Garo Hills,1,43770,115738929.5
meghalaya,2022,Jaintia Hills,1,43235,155876216
meghalaya,2019,east khasi hills,3,156970,344129503.5
meghalaya,2019,west garo hills,3,45652,90390851.33
meghalaya,2019,ribhoi,3,36292,73979318.04
meghalaya,2019,east jaintia hills,3,28604,50090916.58
meghalaya,2019,west jaintia hills,3,8947,11292434.24
meghalaya,2019,south west garo hills,3,6405,9676872.05
meghalaya,2019,north garo hills,3,6329,7479871.09
meghalaya,2019,east garo hills,3,5970,8134689.123
meghalaya,2019,south garo hills,3,4768,7846736.259
meghalaya,2019,west khasi hills,3,4604,6779362.113
meghalaya,2019,East Khasi Hills,3,47462,111694863.9
meghalaya,2019,East Khasi Hills,3,31145,68316585.31
meghalaya,2019,Jaintia Hills,3,18397,33108395.85
meghalaya,2019,Ri Bhoi,3,17736,36297169.54
meghalaya,2019,West Garo Hills,3,10853,19322241.8
meghalaya,2019,East Khasi Hills,3,10365,21827382.4
meghalaya,2019,West Garo Hills,3,9799,22332798.39
meghalaya,2019,West Garo Hills,3,9656,20429507.43
meghalaya,2019,East Khasi Hills,3,9022,21023651.24
meghalaya,2019,East Khasi Hills,3,7815,16618368.83
meghalaya,2019,east khasi hills,4,189936,413649820
meghalaya,2019,west garo hills,4,51137,104063298.2
meghalaya,2019,ribhoi,4,42953,90622918.29
meghalaya,2019,east jaintia hills,4,31575,61615652.5
meghalaya,2019,west jaintia hills,4,11750,16126169.37
meghalaya,2019,north garo hills,4,8449,11018090.11
meghalaya,2019,east garo hills,4,7811,11523924.1
meghalaya,2019,south west garo hills,4,7301,11722163.48
meghalaya,2019,south garo hills,4,7020,9901296.404
meghalaya,2019,west khasi hills,4,5296,8007467.183
meghalaya,2019,East Khasi Hills,4,64202,141840260
meghalaya,2019,East Khasi Hills,4,41000,85894629.65
meghalaya,2019,Jaintia Hills,4,20905,37586960.52
meghalaya,2019,Ri Bhoi,4,20737,46083094.5
meghalaya,2019,East Khasi Hills,4,11705,23534585.17
meghalaya,2019,West Garo Hills,4,11569,22619785.42
meghalaya,2019,West Garo Hills,4,11417,25059701.62
meghalaya,2019,West Garo Hills,4,10833,23317622.53
meghalaya,2019,East Khasi Hills,4,10180,20840088.27
meghalaya,2019,Ri Bhoi,4,9225,22415880.33
meghalaya,2019,east khasi hills,2,126665,274701980.6
meghalaya,2019,west garo hills,2,32077,70701852.44
meghalaya,2019,ribhoi,2,27488,61625177.51
meghalaya,2019,east jaintia hills,2,21325,43624217.36
meghalaya,2019,west jaintia hills,2,5226,9713762.899
meghalaya,2019,south west garo hills,2,4563,6981663.15
meghalaya,2019,east garo hills,2,3926,6785815.738
meghalaya,2019,north garo hills,2,3804,4329558.192
meghalaya,2019,south garo hills,2,3048,7076537.052
meghalaya,2019,west khasi hills,2,3012,4711717.24
meghalaya,2019,East Khasi Hills,2,49250,90504986.24
meghalaya,2019,East Khasi Hills,2,22222,55877235.39
meghalaya,2019,Jaintia Hills,2,14510,28610121.08
meghalaya,2019,Ri Bhoi,2,13302,29851975.84
meghalaya,2019,West Garo Hills,2,7819,17407836.42
meghalaya,2019,West Garo Hills,2,7062,13833419.89
meghalaya,2019,East Khasi Hills,2,6978,14917142.69
meghalaya,2019,West Garo Hills,2,6715,14757332.89
meghalaya,2019,East Khasi Hills,2,6190,16088134.96
meghalaya,2019,West Garo Hills,2,6158,14243341.37
meghalaya,2019,east khasi hills,1,101662,201352082.7
meghalaya,2019,west garo hills,1,30087,58548564.17
meghalaya,2019,ribhoi,1,27304,55813436.17
meghalaya,2019,east jaintia hills,1,25054,46007520.56
meghalaya,2019,west jaintia hills,1,5411,7594602.552
meghalaya,2019,south west garo hills,1,3819,4558241.545
meghalaya,2019,north garo hills,1,3816,4016398.106
meghalaya,2019,west khasi hills,1,3646,5045464.405
meghalaya,2019,east garo hills,1,3529,6495149.29
meghalaya,2019,south garo hills,1,3146,7486873.331
meghalaya,2019,East Khasi Hills,1,28260,47614066.46
meghalaya,2019,East Khasi Hills,1,20618,46460197.12
meghalaya,2019,Jaintia Hills,1,14958,28395154.11
meghalaya,2019,Ri Bhoi,1,14090,29092921.44
meghalaya,2019,West Garo Hills,1,8432,16562926.6
meghalaya,2019,Jaintia Hills,1,7527,9756768.051
meghalaya,2019,East Khasi Hills,1,6472,12712694.05
meghalaya,2019,West Garo Hills,1,6386,10540968.33
meghalaya,2019,East Khasi Hills,1,6077,13402205.5
meghalaya,2019,East Khasi Hills,1,5923,14086152.17
manipur,2018,imphal east,3,60511,89605715.78
manipur,2018,imphal west,3,53577,121033722.1
manipur,2018,thoubal,3,19399,34092748.24
manipur,2018,bishnupur,3,13649,24368236.71
manipur,2018,kangpokpi,3,9151,27937402.09
manipur,2018,churachandpur,3,8671,27468832.41
manipur,2018,kakching,3,4590,9968419.418
manipur,2018,jiribam,3,3959,6601625.253
manipur,2018,ukhrul,3,3600,9802720.723
manipur,2018,tengnoupal,3,3282,13385091.18
manipur,2018,Imphal East,3,22448,15778360.21
manipur,2018,Imphal West,3,22196,61681660.67
manipur,2018,Imphal West,3,15883,31271196.17
manipur,2018,Thoubal,3,10525,20443510.77
manipur,2018,Bishnupur,3,8504,12631267.78
manipur,2018,Thoubal,3,7723,11875212.23
manipur,2018,Imphal West,3,6976,9049086.683
manipur,2018,Thoubal,3,6292,9524903.276
manipur,2018,Imphal West,3,6228,10405423.89
manipur,2018,Imphal East,3,5771,11283039.74
manipur,2018,imphal west,4,71845,181598328.2
manipur,2018,imphal east,4,54610,129176222.4
manipur,2018,thoubal,4,24817,52899731.29
manipur,2018,bishnupur,4,19048,37263259.12
manipur,2018,churachandpur,4,14801,54503246.75
manipur,2018,kangpokpi,4,13325,42081524.61
manipur,2018,kakching,4,6508,13429124
manipur,2018,jiribam,4,5444,13414981.16
manipur,2018,tengnoupal,4,5426,22155446.63
manipur,2018,tamenglong,4,4866,13057576.01
manipur,2018,Imphal West,4,32711,95104886.51
manipur,2018,Imphal West,4,19824,48128337.59
manipur,2018,Thoubal,4,12501,27087023.26
manipur,2018,Bishnupur,4,10795,19534498.36
manipur,2018,Thoubal,4,9494,18953989.77
manipur,2018,Imphal West,4,7849,13377220.7
manipur,2018,Thoubal,4,7506,16701062.64
manipur,2018,Imphal West,4,7121,22565426.58
manipur,2018,Senapati,4,7028,25299899.69
manipur,2018,Imphal East,4,6971,12533403.84
manipur,2018,imphal west,2,46604,84363001.79
manipur,2018,imphal east,2,42065,54561898.75
manipur,2018,thoubal,2,20689,17968719.22
manipur,2018,bishnupur,2,11338,19352100.54
manipur,2018,churachandpur,2,7110,18055703.27
manipur,2018,kangpokpi,2,6741,20315625.92
manipur,2018,kakching,2,3879,6411513.657
manipur,2018,ukhrul,2,2800,6394470.819
manipur,2018,jiribam,2,2710,6467614.408
manipur,2018,tengnoupal,2,2080,6077962.243
manipur,2018,Imphal West,2,18869,44371601.79
manipur,2018,Imphal West,2,11421,20780535.1
manipur,2018,Thoubal,2,10598,10328620.3
manipur,2018,Thoubal,2,8787,4411550.309
manipur,2018,Thoubal,2,8124,6416280.939
manipur,2018,Imphal East,2,7956,6424120.17
manipur,2018,Thoubal,2,7677,7402520.413
manipur,2018,Bishnupur,2,7109,10382916.5
manipur,2018,Imphal West,2,6537,7127037.549
manipur,2018,Imphal East,2,5110,8471239.484
manipur,2018,imphal west,1,29863,46026262.67
manipur,2018,imphal east,1,21960,26028937.81
manipur,2018,thoubal,1,8288,8366772.888
manipur,2018,bishnupur,1,7005,11341627.67
manipur,2018,kangpokpi,1,4187,12129421.38
manipur,2018,churachandpur,1,4081,11708258.72
manipur,2018,kakching,1,1622,1924584.238
manipur,2018,ukhrul,1,1399,1647288.665
manipur,2018,jiribam,1,1305,3564799.452
manipur,2018,tamenglong,1,1007,1709209.246
manipur,2018,Imphal West,1,12606,23682933.58
manipur,2018,Imphal West,1,8487,10244714.68
manipur,2018,Bishnupur,1,4140,6458893.324
manipur,2018,Thoubal,1,4015,1947352.884
manipur,2018,Thoubal,1,4012,3186030.475
manipur,2018,Imphal West,1,3749,4170135.426
manipur,2018,Thoubal,1,3632,3526963.202
manipur,2018,Imphal East,1,3285,2936870.675
